 98d you gonna make it to the church steps
But first, you gon' reprained the more of your him
I gotta designer, what they want you to say whatever
We'll never be any here to the fare
So I'm on the hamenter, so I can't afford to pay
Pink slip of a living, still alive every time I rhyme
Forever ever? Forever ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ever, ever? Ever, ever?
Ever, ever? Ev
